sec,sg_1,sg_2,sg_3,sg_4,sg_5,sg_6,sg_7,sg_8,sg_9,sg_10,sg_11,sg_12,sg_13,sg_14,sg_15,sg_15A,sg_16,sg_17,sg_18,sg_19,sg_20,sg_21,sg_22,sg_22A,sg_23,sg_24,sg_25,sg_26,sg_26A,sg_26B,sg_26C,sg_26D,sg_26E,sg_36,sg_37,sg_38,sg_39,sg_40,sg_41,sg_42,sg_43,sg_43A,sg_44,sg_45,sg_46,sg_47,sg_48,sg_48A,sg_48B,sg_48C,sg_48D,sg_48E,sg_48F,sg_48G,sg_48H,sg_48I,sg_48J,sg_48K,sg_48L,sg_48M,sg_48N,sg_48O,sg_48P,sg_48Q,sg_48R,sg_49,sg_50,sg_51,sg_52,sg_52A,sg_53,sg_54,sg_55,sg_56,sg_57,sg_58,sg_59,sg_60,sg_61,sg_62,sg_63,sg_64,sg_65,sg_66,sg_67,sg_68,eu_1,eu_2,eu_3,eu_4,eu_5,eu_6,eu_7,eu_8,eu_9,eu_10,eu_11,eu_12,eu_13,eu_14,eu_15,eu_16,eu_17,eu_18,eu_19,eu_20,eu_21,eu_22,eu_23,eu_24,eu_25,eu_26,eu_27,eu_28,eu_29,eu_30,eu_31,eu_32,eu_33,eu_34,eu_35,eu_36,eu_37,eu_38,eu_39,eu_40,eu_41,eu_42,eu_43,eu_44,eu_45,eu_46,eu_47,eu_48,eu_49,eu_50,eu_51,eu_52,eu_53,eu_54,eu_55,eu_56,eu_57,eu_58,eu_59,eu_60,eu_61,eu_62,eu_63,eu_64,eu_65,eu_66,eu_67,eu_68,eu_69,eu_70,eu_71,eu_72,eu_73,eu_74,eu_75,eu_76,eu_77,eu_78,eu_79,eu_80,eu_81,eu_82,eu_83,eu_84,eu_85,eu_86,eu_87,eu_88,eu_89,eu_90,eu_91,eu_92,eu_93,eu_94,eu_95,eu_96,eu_97,eu_98
sg_1,0,23,25,22,28,20,20,23,22,20,22,19,22,18,19,25,19,31,23,34,22,24,22,30,25,22,23,36,24,19,34,42,38,24,27,24,26,24,22,39,22,21,20,31,23,19,22,24,57,32,30,24,42,24,22,23,23,52,22,63,33,23,50,38,40,24,24,21,23,47,34,21,19,23,28,22,22,28,20,20,24,23,23,23,28,25,19,21,21,24,38,24,17,68,39,59,38,87,64,73,28,22,32,26,88,22,20,45,24,26,30,21,58,24,47,27,32,21,55,47,24,23,33,30,28,21,29,22,21,25,36,36,24,42,29,48,24,21,51,45,22,35,27,26,23,80,21,36,21,24,27,22,23,26,21,24,26,24,26,25,23,23,43,56,55,25,22,28,41,25,40,37,37,27,144,21,55,23,20,27,32,35,23,39
sg_2,23,0,12,15,27,18,17,7,17,18,17,18,12,18,13,22,17,38,26,36,19,19,23,33,21,22,21,33,13,20,34,44,42,13,27,21,12,9,13,41,18,15,12,34,12,17,16,13,63,29,33,23,45,20,12,25,14,59,15,69,33,14,56,39,41,16,14,16,16,44,37,18,21,11,29,18,18,27,17,13,27,20,16,13,27,10,24,11,14,10,41,20,18,73,42,62,37,95,71,79,30,13,33,26,92,20,15,50,9,27,32,15,60,11,52,25,34,18,58,50,25,11,32,29,27,15,31,8,15,24,38,36,18,41,26,48,15,9,54,47,11,36,13,12,14,86,15,34,15,17,24,14,16,22,9,16,11,12,12,17,8,12,47,60,62,24,21,28,43,11,42,43,38,32,151,21,58,18,15,24,33,42,17,41
sg_3,25,12,0,17,31,20,16,10,18,20,17,19,14,16,11,27,17,41,26,39,17,21,24,34,21,24,24,38,23,22,37,47,46,23,27,22,7,11,7,48,18,13,18,39,7,17,16,23,67,39,35,25,51,27,11,25,17,61,19,75,38,21,61,44,44,17,19,20,21,49,40,18,19,14,29,20,18,30,18,11,32,20,21,12,30,10,25,11,13,10,44,20,18,80,44,68,44,99,77,86,32,20,38,30,98,23,13,54,10,28,36,15,68,7,55,27,38,17,63,54,29,14,39,35,33,15,35,12,17,26,42,38,19,47,31,57,18,10,59,51,8,40,6,5,13,92,14,39,19,18,27,14,22,25,10,16,6,7,7,16,10,14,52,65,66,27,21,33,47,7,48,46,45,35,157,19,65,23,16,26,35,45,15,47
sg_4,22,15,17,0,27,17,17,12,18,16,12,17,17,13,15,24,16,36,22,36,12,18,18,29,19,18,19,37,16,21,33,42,38,16,26,8,16,7,15,43,20,17,16,32,15,16,17,16,61,28,32,22,44,23,15,22,17,56,20,68,30,19,54,34,34,18,21,18,20,44,35,11,14,17,25,19,13,26,18,14,26,18,23,14,27,14,21,16,15,13,38,20,15,68,38,60,40,90,71,78,30,20,36,24,90,21,12,48,13,23,32,15,62,16,51,27,33,18,54,46,25,17,31,29,27,14,30,13,12,26,39,38,19,44,26,49,18,16,52,47,15,37,17,17,14,87,17,33,19,15,24,17,19,24,16,18,16,17,16,18,15,16,46,61,61,19,18,26,42,16,44,39,39,30,150,11,57,22,17,22,31,40,13,42
sg_5,28,27,31,27,0,20,28,28,26,28,29,26,28,26,29,27,27,37,32,25,27,29,30,32,30,28,29,32,26,27,34,43,36,26,26,28,32,28,33,41,27,29,23,34,31,27,29,26,58,30,35,29,41,27,27,28,27,51,29,58,26,27,38,26,35,29,25,28,28,41,37,27,29,27,30,26,27,27,20,28,27,30,26,29,23,28,29,29,28,28,37,28,27,63,37,50,34,86,62,70,32,24,35,26,81,26,29,46,25,27,32,27,55,28,45,25,33,26,48,43,24,25,25,22,20,29,31,28,24,27,33,36,28,40,26,39,30,32,49,42,31,36,33,31,29,77,29,35,27,29,28,29,25,15,32,29,30,30,33,28,30,29,45,57,56,29,27,29,39,27,36,39,35,27,139,29,46,27,30,25,28,38,29,38
sg_6,20,18,20,17,20,0,16,20,18,20,20,20,18,15,20,20,18,33,23,37,17,21,18,28,20,18,18,35,20,22,32,39,36,20,23,16,21,20,22,41,19,17,15,33,20,18,20,20,58,34,32,23,39,22,19,17,18,54,21,58,28,18,53,27,38,20,17,20,18,42,36,16,17,19,27,21,19,24,8,20,28,18,20,15,24,17,23,20,20,18,39,16,14,68,39,61,37,89,71,80,29,18,34,23,88,20,19,47,19,25,32,18,58,19,50,25,33,15,55,47,25,17,31,29,30,17,28,17,18,26,34,36,20,40,22,48,19,21,47,43,20,36,21,21,18,84,19,30,19,16,26,21,15,24,21,18,21,22,21,17,21,18,46,58,60,22,17,27,36,20,40,40,37,30,146,16,52,19,21,26,30,38,18,40
sg_7,20,17,16,17,28,16,0,18,18,18,17,17,15,15,15,23,19,37,26,37,20,19,24,32,21,24,23,36,23,19,35,43,41,23,24,20,15,15,15,44,18,14,17,34,17,19,17,23,62,37,33,26,48,24,15,21,16,59,17,66,35,20,53,37,38,8,19,18,17,45,34,18,18,15,27,18,19,29,15,16,26,17,21,15,27,15,24,16,16,15,42,21,17,71,42,61,41,90,70,81,30,18,35,28,93,22,15,48,14,26,35,14,62,17,51,24,35,18,58,51,26,13,35,32,30,14,32,17,16,26,39,33,17,44,26,51,15,17,52,46,16,37,17,16,13,84,17,33,17,18,26,16,20,27,17,17,15,16,17,17,16,17,45,61,61,26,20,30,39,16,45,43,40,32,149,18,59,21,17,25,32,39,16,41
sg_8,23,7,10,12,28,20,18,0,19,17,16,17,14,18,10,22,18,40,27,38,18,19,23,32,22,23,21,37,20,20,36,45,42,20,27,18,8,6,10,45,18,15,14,35,9,18,16,20,66,36,35,25,49,24,12,24,14,61,18,73,35,17,57,41,40,17,15,17,17,48,38,17,19,11,29,19,16,30,16,13,28,19,17,11,28,6,24,11,14,5,43,20,19,76,42,64,41,98,77,85,31,16,36,29,96,22,13,50,7,27,35,15,65,9,54,26,36,18,61,54,28,13,34,33,30,13,35,7,14,25,40,39,20,44,27,53,17,10,56,49,10,38,9,9,14,90,14,37,17,18,24,15,17,24,10,16,8,10,8,17,7,12,49,61,63,24,22,29,45,7,45,43,40,34,155,15,60,17,17,24,33,43,15,42
sg_9,22,17,18,18,26,18,18,19,0,15,19,16,14,16,18,25,17,36,22,32,18,19,16,29,17,18,18,31,24,20,31,41,38,24,22,20,20,18,19,42,19,14,14,32,17,17,17,24,57,36,30,20,43,26,15,21,16,55,15,63,29,17,55,36,40,16,18,18,18,44,33,18,16,17,27,8,20,25,17,17,26,13,19,17,25,19,22,19,19,18,37,12,14,68,38,60,38,89,69,78,28,19,34,20,87,20,17,46,17,24,34,15,58,18,48,19,33,10,53,43,27,20,31,28,27,13,27,17,16,25,37,31,16,41,27,47,20,16,52,45,17,34,21,19,17,84,18,31,16,17,26,14,18,23,16,17,19,17,20,17,19,17,46,57,59,25,9,29,40,18,39,38,39,30,147,19,56,20,12,22,31,37,15,40
sg_10,20,18,20,16,28,20,18,17,15,0,17,19,16,16,17,26,18,35,23,35,16,21,18,28,21,19,20,34,19,20,33,43,40,19,26,19,20,17,20,39,21,18,18,33,17,18,20,19,58,31,32,21,42,23,14,23,19,55,18,65,29,22,52,37,36,18,19,20,21,43,34,17,13,17,28,17,15,26,21,14,26,18,18,19,26,19,22,18,19,18,38,21,15,68,38,58,38,88,66,75,30,22,32,24,87,22,18,48,18,26,32,17,60,19,50,25,28,19,54,45,22,18,33,32,30,17,30,16,15,25,36,34,21,42,26,44,17,18,50,46,16,35,21,19,17,80,19,29,17,19,23,20,21,23,18,20,18,19,19,20,18,17,45,57,59,20,16,23,41,18,42,39,38,30,145,17,58,22,18,23,32,33,13,39
