sec,sg_1,sg_2,sg_3,sg_4,sg_5,sg_5A,sg_6,sg_7,sg_8,sg_9,sg_10,sg_11,sg_12,sg_13,sg_14,sg_15,sg_16,sg_17,sg_18,sg_19,sg_20,sg_21,sg_22,sg_23,sg_24,sg_25,sg_26,sg_27,sg_28,sg_29,sg_30,sg_31,sg_32,sg_33,sg_34,sg_35,sg_36,sg_37,sg_38,sg_39,sg_40,sg_41,sg_42,sg_43,sg_44,sg_45,sg_46,sg_47,sg_48,sg_49,sg_50,sg_51,sg_52,sg_53,sg_53A,sg_54,sg_55,sg_55A,sg_56,sg_57,sg_58,sg_59,sg_60,sg_61,sg_62,sg_63,sg_64,sg_65,sg_66,sg_67,sg_68,sg_69,sg_70,sg_71,sg_72,sg_73,sg_74,sg_75,sg_76,sg_77,sg_78,sg_79,sg_80,sg_81,sg_81A,sg_81B,sg_82,sg_83,sg_84,sg_85,sg_85A,sg_85B,sg_86,sg_87,sg_88,sg_89,sg_90,sg_91,sg_92,sg_93,sg_93A,sg_93B,sg_93C,sg_93D,sg_93E,sg_93F,sg_93G,sg_93H,sg_93I,sg_93J,sg_93K,sg_93L,sg_94,sg_95,sg_96,sg_97,sg_98,sg_99,sg_100,sg_101,sg_102,sg_103,sg_104,sg_105,sg_105A,sg_106,sg_107,sg_108,sg_109,uk_1,uk_2,uk_3,uk_4,uk_5,uk_5A,uk_6,uk_6A,uk_7,uk_8,uk_9,uk_10,uk_10A,uk_10B,uk_11,uk_11A,uk_12,uk_13,uk_14,uk_15,uk_16,uk_17,uk_18,uk_19,uk_20,uk_21,uk_21A,uk_21B,uk_21C,uk_21D,uk_21E,uk_21F,uk_22,uk_23,uk_24,uk_25,uk_26,uk_27,uk_28,uk_29,uk_30,uk_31,uk_32,uk_33,uk_34,uk_35,uk_36,uk_37,uk_38,uk_39,uk_40,uk_41,uk_42,uk_43,uk_44,uk_45,uk_46,uk_47,uk_48,uk_49,uk_50,uk_51,uk_52,uk_53,uk_54,uk_55,uk_56,uk_57,uk_58,uk_59,uk_60,uk_60A,uk_62,uk_63,uk_64,uk_65,uk_66,uk_67,uk_68,uk_69,uk_70,uk_71,uk_72,uk_73,uk_74,uk_75,uk_76,uk_77,uk_78,uk_79,uk_80,uk_81,uk_82,uk_83,uk_83A,uk_84,uk_85,uk_86,uk_87,uk_88,uk_89,uk_90,uk_91,uk_92,uk_92A,uk_93,uk_94,uk_95,uk_96,uk_97,uk_98,uk_99,uk_99A,uk_100,uk_101,uk_102,uk_103,uk_104,uk_105,uk_106,uk_107,uk_108,uk_109,uk_110
sg_1,0,11,77,18,24,35,33,39,39,53,36,51,22,33,44,10,19,31,20,19,29,31,21,32,18,24,34,48,28,47,41,19,37,55,54,50,25,30,36,52,14,57,28,15,61,51,22,55,47,56,26,38,56,50,15,53,31,35,79,84,49,71,14,16,38,19,20,12,9,33,33,22,14,20,30,31,44,18,28,11,30,38,17,22,33,11,55,59,25,14,48,24,37,32,51,33,42,31,22,18,36,30,17,48,24,32,37,35,33,31,21,18,53,26,68,23,47,9,29,33,43,20,29,30,19,20,44,14,20,10,18,39,21,39,62,26,70,53,66,34,31,76,87,35,46,47,41,19,36,55,43,46,54,56,33,18,24,23,21,34,40,25,30,34,52,14,60,28,15,61,51,24,12,25,36,51,22,47,44,10,33,20,19,29,27,21,32,18,14,16,36,76,15,49,16,43,51,56,42,41,31,10,9,36,37,24,49,24,20,44,21,45,43,55,9,21,41,33,11,31,20,17,33,33,65,71,31,54,48,66,57,72,48,15,52,25,38,55,44,15,29,55,30,49,33,13,25,20,32,35,9,11,0
sg_2,11,0,75,17,18,29,31,33,33,52,33,47,18,32,40,8,21,32,15,14,28,30,17,28,18,23,34,47,28,47,37,19,34,55,54,47,24,30,34,52,15,54,28,16,59,49,20,52,45,57,27,37,56,47,15,53,31,34,75,81,46,67,14,14,36,20,20,15,11,32,31,22,16,20,28,29,44,18,27,12,32,34,18,13,33,12,51,58,25,15,46,25,33,31,51,28,42,31,23,16,37,27,13,46,25,31,38,32,28,31,22,16,53,25,64,26,47,9,27,31,38,20,28,29,21,19,42,16,16,12,17,33,23,33,61,25,67,52,63,34,29,75,84,34,43,47,37,19,33,55,44,46,54,56,33,17,21,22,22,27,39,24,30,33,52,15,57,28,16,59,49,18,11,24,33,47,18,42,40,8,30,15,14,28,27,17,28,18,14,14,36,72,16,47,15,43,52,55,39,39,32,11,11,36,33,24,48,23,19,44,21,43,38,51,12,21,40,33,12,32,18,18,31,30,62,68,28,54,47,61,54,70,45,17,52,25,37,52,43,15,29,55,29,46,31,11,20,16,30,37,11,13,11
sg_3,77,75,0,66,70,63,65,64,62,58,67,60,69,68,66,74,70,57,69,69,60,59,69,67,73,69,59,55,67,55,66,71,69,55,53,64,60,59,57,52,72,63,58,75,63,63,63,59,54,56,68,64,63,67,72,66,62,61,70,69,61,65,73,71,61,70,68,74,76,62,65,69,74,70,68,67,66,72,66,82,67,66,71,68,67,82,63,64,66,73,62,65,65,65,66,66,52,63,67,72,56,67,71,62,65,65,61,66,66,63,68,72,62,70,67,67,63,78,71,66,61,68,67,59,72,71,62,72,71,77,66,64,71,62,61,58,61,58,67,59,56,67,72,58,69,55,66,71,69,55,37,65,53,60,64,73,72,70,72,71,71,60,59,58,52,72,63,58,75,63,63,70,74,63,67,60,69,64,66,74,69,69,69,60,59,69,67,73,73,71,59,73,75,65,73,65,61,62,61,64,66,75,76,62,67,69,53,70,69,66,67,64,61,66,78,68,62,66,82,66,72,71,66,67,64,66,67,64,63,40,63,68,64,74,64,68,64,69,63,73,69,64,59,62,68,71,68,71,65,62,81,77,77
sg_4,18,17,66,0,23,33,29,34,33,48,36,48,22,30,42,14,18,16,22,19,16,18,21,32,20,21,21,36,30,36,34,20,34,52,50,45,12,18,23,40,18,47,15,18,57,46,14,40,46,48,27,29,47,46,16,52,21,22,74,80,46,67,13,13,26,19,7,19,18,30,28,19,18,21,28,27,42,18,27,19,27,30,17,22,30,19,50,54,21,17,42,27,33,29,48,31,30,27,20,20,34,28,16,42,27,29,35,33,31,27,19,20,51,24,64,23,43,18,27,27,39,19,26,22,20,18,39,16,19,12,0,34,20,33,60,15,63,48,61,21,18,70,78,22,41,36,34,20,33,52,40,42,50,55,31,19,22,20,22,30,36,12,18,21,40,18,50,15,18,57,46,23,19,15,36,48,22,41,42,14,27,22,19,16,15,21,32,20,13,13,27,68,18,46,19,35,51,55,40,39,29,17,18,33,34,21,36,22,21,42,16,37,39,45,19,19,34,29,19,28,17,17,21,22,51,64,22,41,42,58,49,66,41,19,49,25,29,52,40,18,26,48,22,43,32,18,21,19,27,32,19,19,18
sg_5,24,18,70,23,0,13,23,23,24,47,31,41,14,24,35,17,17,24,8,12,20,22,7,21,22,24,30,40,26,39,32,17,35,50,47,47,24,27,30,43,22,36,24,24,55,43,26,48,40,53,15,35,49,42,22,51,26,32,69,75,39,62,21,20,35,13,22,18,21,24,28,20,19,18,28,29,41,14,22,26,32,26,19,19,27,26,44,52,25,20,42,21,33,30,47,20,35,27,23,22,33,24,19,42,21,30,36,28,20,27,22,22,48,19,55,26,43,22,23,27,28,16,29,29,21,19,42,23,19,24,23,23,24,24,56,25,61,47,60,30,25,67,75,28,42,39,32,17,33,50,39,43,47,49,32,20,23,24,21,21,32,24,27,28,43,22,39,24,24,55,43,0,21,20,31,41,14,31,35,17,26,8,12,20,26,7,21,22,21,20,34,65,23,45,19,37,47,52,32,37,28,19,21,27,27,25,37,26,17,41,24,38,28,49,24,15,37,35,26,31,24,19,32,26,56,60,28,43,45,58,48,63,43,23,44,14,35,45,39,24,29,48,29,46,24,18,24,19,30,36,25,25,24
sg_5A,35,29,63,33,13,0,29,27,26,44,31,43,24,29,34,29,27,29,19,22,30,31,17,21,31,31,35,39,30,36,30,29,34,47,45,45,31,34,34,36,32,44,29,32,50,42,33,49,38,50,22,35,47,41,32,50,29,34,66,70,41,59,32,28,34,24,30,29,33,23,25,27,31,26,34,35,34,27,23,38,33,32,29,27,29,38,39,49,33,31,38,28,33,33,47,30,33,27,30,30,32,29,30,38,28,33,38,26,30,27,29,30,45,30,50,30,42,33,32,32,25,24,29,30,30,27,41,33,29,36,33,27,33,26,52,30,58,44,58,35,33,62,70,30,41,36,30,29,34,47,37,43,45,44,32,31,31,34,31,28,34,31,34,34,36,32,47,29,32,50,42,13,31,26,31,43,24,34,34,29,30,19,22,30,32,17,21,31,32,28,32,60,33,44,30,37,44,47,34,36,31,31,33,26,27,33,30,28,25,34,30,37,25,45,35,27,37,36,38,31,33,29,34,31,54,61,32,38,45,55,44,59,43,34,44,21,35,48,39,33,36,47,30,44,25,30,29,29,34,37,37,36,35
sg_6,33,31,65,29,23,29,0,35,34,43,30,42,23,27,37,30,22,25,25,29,26,25,24,32,26,28,35,43,30,41,36,26,35,44,41,45,30,30,33,42,25,44,30,30,51,42,28,40,41,50,17,34,47,36,28,49,27,31,70,73,42,64,28,22,28,27,26,29,31,23,28,29,28,30,26,28,39,29,30,33,29,29,24,24,30,33,44,51,29,27,39,25,34,29,43,30,37,28,28,26,32,30,29,39,25,29,32,34,30,28,27,26,42,22,59,24,39,30,28,27,33,23,30,32,21,22,41,28,24,31,29,35,28,34,45,30,58,43,58,35,31,72,78,33,39,41,36,26,34,44,33,44,41,49,34,29,32,29,27,35,38,30,30,31,42,25,47,30,30,51,42,23,29,14,30,42,23,31,37,30,28,25,29,26,32,24,32,26,28,22,34,65,31,44,29,35,46,48,36,37,14,32,31,25,30,30,40,29,30,39,30,38,33,45,33,30,32,30,33,29,31,24,30,27,55,59,32,44,41,56,44,64,43,30,41,18,34,49,40,29,27,46,32,43,27,28,29,24,25,36,34,32,33
sg_7,39,33,64,34,23,27,35,0,7,40,31,37,32,36,36,33,33,32,25,23,31,34,24,20,36,35,35,38,34,40,34,32,35,49,48,40,33,33,34,45,34,47,34,37,53,42,35,48,43,51,32,33,50,43,35,48,33,35,65,70,42,57,37,37,38,31,35,31,36,28,31,30,34,30,34,35,39,29,27,41,36,39,34,33,36,41,46,49,31,34,41,32,34,36,46,31,35,30,34,35,35,29,33,41,32,36,37,34,31,30,33,35,49,35,53,35,43,35,31,36,31,29,32,34,34,35,41,34,33,38,34,0,37,7,52,35,53,40,54,35,34,63,71,34,42,40,34,32,34,49,43,43,48,50,37,35,36,36,34,30,38,33,33,33,45,34,50,34,37,53,42,23,35,36,31,37,32,37,36,33,34,25,23,31,33,24,20,36,37,37,39,62,36,42,34,42,47,51,35,37,36,34,36,32,33,32,43,32,29,39,32,42,31,48,38,29,37,38,41,35,34,34,38,36,51,60,36,45,41,55,46,56,42,37,44,31,33,47,38,36,34,50,34,45,34,34,32,33,36,40,40,38,39
sg_8,39,33,62,33,24,26,34,7,0,37,31,37,30,35,36,32,32,31,23,22,32,33,23,20,37,36,34,39,36,38,31,32,35,49,47,38,32,34,36,42,34,48,33,37,52,40,36,47,41,50,32,34,47,43,35,47,34,35,65,71,41,59,37,36,36,30,34,31,36,25,31,31,34,30,36,35,39,30,28,41,36,37,33,33,33,41,44,48,31,33,41,33,34,36,46,31,35,28,33,36,35,26,32,41,33,36,38,34,31,28,32,36,50,33,51,34,43,37,32,35,30,28,33,34,35,36,41,35,33,38,33,7,36,0,52,33,50,37,51,34,33,61,72,34,43,38,31,32,34,49,40,42,47,50,37,35,36,33,34,31,38,32,34,35,42,34,50,33,37,52,40,24,34,35,31,37,30,36,36,32,33,23,22,32,34,23,20,37,37,36,36,61,36,41,34,41,46,52,34,38,36,34,36,29,32,33,42,33,29,39,30,40,30,46,38,30,37,38,41,35,34,33,38,33,50,59,37,46,41,54,46,56,43,36,45,31,34,47,38,37,35,49,34,45,34,33,32,33,37,39,40,39,39
sg_9,53,52,58,48,47,44,43,40,37,0,46,48,47,45,48,52,44,43,46,47,47,45,45,46,47,43,47,46,43,46,47,48,46,49,52,44,45,48,46,48,50,47,44,48,48,49,48,47,41,49,43,43,48,48,48,52,47,46,62,65,46,53,50,49,41,48,48,50,52,43,45,49,49,50,42,42,43,50,45,57,46,46,46,44,47,57,48,51,47,47,42,42,46,42,48,46,45,45,47,48,43,45,47,42,42,42,44,42,46,45,47,48,50,45,55,47,45,52,47,43,43,46,42,43,46,46,46,49,47,53,48,40,49,37,51,44,34,0,43,47,47,64,65,45,47,46,47,48,46,49,43,47,52,48,47,51,50,47,50,50,47,45,48,46,48,50,48,44,48,48,49,47,52,45,46,48,47,46,48,52,46,46,47,47,47,45,46,47,50,49,45,63,51,47,49,46,49,50,43,43,46,52,52,44,45,43,48,46,49,43,46,47,43,49,52,49,47,43,57,45,48,46,47,44,57,60,44,48,43,55,50,61,50,51,53,43,43,53,44,51,44,48,43,47,46,47,45,47,45,44,56,52,53
